__table,id,name,description,createdAt,updatedAt,email,password,phone,avatar,roleId,isActive,lastLoginAt,address,city,state,zipCode,country,latitude,longitude,code,capacity,managerId,sku,imageUrl,categoryId,unit,weight,dimensions,price,warehouseId,productId,quantity,reservedQuantity,minStock,maxStock,reorderPoint,lastRestockedAt,type,referenceType,referenceId,notes,performedBy,batchNumber,inventoryId,receiptDate,expiryDate,locationLabel,status,createdBy,orderNumber,customerId,shippingName,shippingPhone,shippingAddress,shippingCity,shippingState,shippingZipCode,shippingCountry,shippingLatitude,shippingLongitude,billingName,billingAddress,billingCity,billingState,billingZipCode,billingCountry,priority,subtotal,tax,shippingCost,discount,totalAmount,paymentStatus,paymentMethod,specialInstructions,confirmedAt,processedAt,shippedAt,deliveryDate,deliveredAt,cancelledAt,orderId,unitPrice,totalPrice,licensePlate,make,model,year,color,volume,fuelType,mileage,lastMaintenance,nextMaintenance,userId,licenseNumber,licenseType,licenseExpiry,emergencyContact,rating,totalDeliveries,hiredAt,driverId,vehicleId,assignedAt,tripNumber,startLocation,startLatitude,startLongitude,endLocation,endLatitude,endLongitude,totalDistance,estimatedTime,actualTime,plannedStartAt,plannedEndAt,actualStartAt,actualEndAt,totalDropPoints,completedDropPoints,tripId,dropPointType,sequence,locationName,contactName,contactPhone,plannedArrival,plannedDeparture,actualArrival,actualDeparture,recipientName,recipientSignature,deliveryPhoto,failureReason,failureNotes,speed,heading,altitude,accuracy,battery,recordedAt,subject,message,response,respondedAt,respondedBy,action,entityType,entityId,oldValue,newValue,ipAddress,userAgent
TripDropPoint,cmnlvuk3r000mf87skdriy7z7,,,2026-04-05T14:54:47.366Z,2026-04-05T15:51:39.412Z,,,,,,,,"N/A, Zulueta Street, Poblacion, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,,10.79892737393843,122.9754800848129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvha0l000df87s2tr92kq0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvuk3q000kf87s5yjtomfp,DELIVERY,1,John Smith,John Smith,9460056944,,,2026-04-05T15:42:46.486Z,2026-04-05T15:51:39.409Z,Customer,,/uploads/pods/pod-1775404299329-39q1p6.jpg,,,,,,,,,,,,,,,,,,,,
TripDropPoint,cmnlvuk3s000nf87sp0errbqc,,,2026-04-05T14:54:47.366Z,2026-04-05T16:04:42.053Z,,,,,,,,"N/A, Langka Street, Guinhalaran, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,,10.78787156570303,122.9755274366811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvgdlk0005f87s7il3khch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvuk3q000kf87s5yjtomfp,DELIVERY,2,John Smith,John Smith,9460056944,,,2026-04-05T16:04:36.391Z,2026-04-05T16:04:42.051Z,,,,,,,,,,,,,,,,,,,,,,,
TripDropPoint,cmnlvuk3s000of87sgoaku3zn,,,2026-04-05T14:54:47.366Z,2026-04-05T16:04:51.949Z,,,,,,,,"N/A, Langka Street, Guinhalaran, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,,10.78787156570303,122.9755274366811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvgmns0009f87sam0b6i5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvuk3q000kf87s5yjtomfp,DELIVERY,3,John Smith,John Smith,9460056944,,,2026-04-05T16:04:47.655Z,2026-04-05T16:04:51.948Z,,,,,,,,,,,,,,,,,,,,,,,
TripDropPoint,cmnlvuk3s000pf87sodyxsccz,,,2026-04-05T14:54:47.366Z,2026-04-05T16:05:03.835Z,,,,,,,,"N/A, Consolacion Road, Guinhalaran, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,,10.7861262,122.9743197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlv88z20001f87sjf1i65f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvuk3q000kf87s5yjtomfp,DELIVERY,4,John Smith,John Smith,9460056944,,,2026-04-05T16:04:57.221Z,2026-04-05T16:05:03.833Z,,,,,,,,,,,,,,,,,,,,,,,
TripDropPoint,cmnmmt5rx000mf8d8it7c3y54,,,2026-04-06T03:29:31.772Z,2026-04-06T03:30:09.009Z,,,,,,,,"N/A, Zulueta Street, Poblacion, Mambulac, Silay, Negros Occidental, 6116, Philippines",Silay,Negros Occidental,6116,,10.79892737393843,122.9754800848129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmmpri0008f8d8i1ql2pnk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,DELIVERY,1,John Smith,John Smith,9460056944,,,2026-04-06T03:29:54.697Z,2026-04-06T03:30:09.003Z,Customer,,/uploads/pods/pod-1775446208861-ewqy80.jpg,,,,,,,,,,,,,,,,,,,,
TripDropPoint,cmnmmt5rx000nf8d8s5yxddzc,,,2026-04-06T03:29:31.772Z,2026-04-06T03:29:31.772Z,,,,,,,,"Burgos Street, Guimaras Circumferential Road, Bugbog, Bugbog, Sibunag, Guimaras, 5048, Philippines",Sibunag,Guimaras,5048,,10.49786202558503,122.6653343818071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmrc0x000gf8d8au9ws3zm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,DELIVERY,2,John Smith,John Smith,9460056944,,,,,,,,,,,,,,,,,,,,,,,,,,,
TripDropPoint,cmnmmt5ry000of8d8em6g9lub,,,2026-04-06T03:29:31.772Z,2026-04-06T03:29:31.772Z,,,,,,,,"Burgos Street, Barangay I, Bugbog, Sibunag, Sibunag, Guimaras, 5048, Philippines",Sibunag,Guimaras,5048,,10.4977743,122.6628983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmqofq000cf8d80pl8xpeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,DELIVERY,3,John Smith,John Smith,9460056944,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLog,cmnmmtikt000qf8d8vaaw7rn2,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.365Z,,,,,,,,,,,,
LocationLog,cmnmmtikv000sf8d8u6nys11m,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.367Z,,,,,,,,,,,,
LocationLog,cmnmmtil0000uf8d8pqwsgewy,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.372Z,,,,,,,,,,,,
LocationLog,cmnmmtims000wf8d8n54lrx0p,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.437Z,,,,,,,,,,,,
LocationLog,cmnmmtiog000yf8d8yvt2b35n,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.496Z,,,,,,,,,,,,
LocationLog,cmnmmtipt0010f8d8v391g07e,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.546Z,,,,,,,,,,,,
LocationLog,cmnmmtj290012f8d8hwm97pmw,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:48.993Z,,,,,,,,,,,,
LocationLog,cmnmmtj4d0014f8d8ewixtsth,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.070Z,,,,,,,,,,,,
LocationLog,cmnmmtj810016f8d8q72lny6s,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.202Z,,,,,,,,,,,,
LocationLog,cmnmmtj8m0018f8d8ubrakm2t,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.223Z,,,,,,,,,,,,
LocationLog,cmnmmtjax001af8d88ra82bwc,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.306Z,,,,,,,,,,,,
LocationLog,cmnmmtjbt001cf8d8twezoj2a,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.338Z,,,,,,,,,,,,
LocationLog,cmnmmtjdq001gf8d8y64kl0fo,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.406Z,,,,,,,,,,,,
LocationLog,cmnmmtjdq001ff8d8phun6fj8,,,,,,,,,,,,,,,,,10.74002754655147,122.967791279715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:29:49.406Z,,,,,,,,,,,,
LocationLog,cmnmmtskl001if8d8db7vqe4q,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.317Z,,,,,,,,,,,,
LocationLog,cmnmmtskm001kf8d8cbq6jkpp,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.318Z,,,,,,,,,,,,
LocationLog,cmnmmtslu001mf8d8lfa6vskg,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.360Z,,,,,,,,,,,,
LocationLog,cmnmmtslz001rf8d89x61qedb,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.368Z,,,,,,,,,,,,
LocationLog,cmnmmtslx001of8d81u0okcdw,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.365Z,,,,,,,,,,,,
LocationLog,cmnmmtslz001sf8d8esi7ci0h,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.368Z,,,,,,,,,,,,
LocationLog,cmnmmtsnu001uf8d8fggfew4k,,,,,,,,,,,,,,,,,10.74007895462457,122.967694006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnicdvh30004f8gox8wfxahu,,,,,,,,,,,,,,,,,,,cmnmmt5rx000kf8d8xketsn03,,,,,,,,,,,,,,,,,,,,2026-04-06T03:30:01.434Z,,,,,,,,,,,,
Feedback,cmnd79t0f001jf854yhml5ua9,,,2026-03-30T13:04:38.943Z,2026-03-30T13:04:38.943Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLIMENT,,,,,,,,,,CLOSED,,,cmnd79sve000cf854b07akqcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excellent Delivery Service,The delivery was on time and the driver was very professional. Great experience!,,,,,,,,,,
Feedback,cmnly9dei000rf87s4z7uvbxh,,,2026-04-05T16:02:17.754Z,2026-04-05T16:02:17.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLIMENT,,,,,,,,,,OPEN,,,cmnd79sve000cf854b07akqcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnlvha0l000df87s2tr92kq0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order Rating - ORD-2026-0004,Very good>>,,,,,,,,,,
AuditLog,cmnd79t0m001lf85429yt2vxh,,,2026-03-30T13:04:38.950Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmnd79stw0005f854m86615qp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CREATE,ORDER,cmnd79szc0011f854lkzqymxa,,"{""orderNumber"":""ORD-2024-0001""}",,
